Date;Stock;Lot;Price;Total Dividend;Realized P&L
2024-07-12;IPCC;102;62.39;636378;+636378
2024-07-12;BIRD;101;91;919100;+919100
2024-07-09;BSSR;22;345.15;759330;+759330
2024-07-05;ACES;55;33.5;184250;+184250
2024-06-28;PGAS;161;148.3;2387728;+2387728
2024-06-28;SPTO;360;25;900000;+900000
2024-06-28;TOTO;550;9;495000;+495000
2024-06-28;MPMX;215;115;2472500;+2472500
2024-06-25;POWR;500;43.91;2195855;+2195855
2024-06-21;ISAT;1;268.39;26840;+26840
2024-06-20;EAST;730;1.5;109500;+109500
2024-06-19;WEGE;310;0.98;30380;+30380
2024-06-14;TOTL;30;40;120000;+120000
2024-06-07;PTBA;34;397.71;1352221;+1352221
2024-06-07;ANTM;101;128.07;1293519;+1293519
2024-06-06;SIDO;600;18;1080000;+1080000
2024-06-05;ADRO;100;209.31;2093100;+2093100
2024-05-31;EXCL;6;48.6;29160;+29160
2024-05-30;ASII;42;421;1768200;+1768200
2024-05-30;TLKM;70;178.5;1249529;+1249529
2024-05-28;SMSM;100;25;250000;+250000
2024-05-22;UNTR;2;1569;313800;+313800
2024-05-03;BNGA;231;122.67;2833677;+2833677
2024-05-03;EAST;670;2.45;164150;+164150
2024-05-02;BJBR;1000;95.05;9505000;+9505000
2024-04-26;ARNA;200;43;860000;+860000
2024-04-19;BTPS;20;70.15;140300;+140300
2024-04-04;BBCA;14;227.5;318500;+318500
2024-03-28;BBRI;26;235;611000;+611000
2024-01-24;BSSR;1;118.39;11839;+11839
2024-01-18;BBRI;23;84;193200;+193200
2024-01-12;ADRO;87;199.98;1739826;+1739826
2024-01-12;IPCC;21;21.7;45570;+45570
2023-12-28;DMAS;100;12;120000;+120000
2023-12-20;BBCA;13;42.5;55250;+55250
2023-12-20;POWR;350;29.47;1031479;+1031479
2023-12-19;UNVR;25;63;157500;+157500
2023-12-14;TOTO;500;9;450000;+450000
2023-12-14;SPTO;110;25;275000;+275000
2023-12-07;EAST;10;2.5;2500;+2500
2023-11-29;TSPC;24;50;120000;+120000
2023-11-22;SMSM;34;30;102000;+102000
2023-11-20;SIDO;553;12.6;696780;+696780
2023-10-31;ASII;34;98;333200;+333200
2023-10-27;HEXA;9;768.3;691470;+691470
2023-10-24;UNTR;2;701;140200;+140200
2023-08-30;SMDR;180;4;72000;+72000
2023-08-23;SMSM;14;25;35000;+35000
2023-08-03;ERAA;120;19;228000;+228000
2023-07-31;SMDR;30;30;90000;+90000
2023-07-26;INDF;45;257;1156500;+1156500
2023-07-21;ACES;50;31.06;155300;+155300
2023-07-21;BIRD;70;72;504000;+504000
2023-07-21;ULTJ;1;30;3000;+3000
2023-07-20;UNVR;10;71;71000;+71000
2023-07-14;ANTM;80;79.5;636013;+636013
2023-07-14;PTBA;10;1094.05;1094050;+1094050
2023-07-05;TLKM;10;167.59;167599;+167599
2023-07-03;TSPC;10;100;100000;+100000
2023-06-27;PGAS;130;141.05;1833696;+1833696
2023-06-23;MPMX;121;135;1633500;+1633500
2023-06-16;TOTO;70;10;70000;+70000
2023-06-09;WEGE;40;2.42;9680;+9680
2023-06-06;ADRO;62;240.78;1492836;+1492836
2023-06-06;POWR;70;41.68;291796;+291796
2023-05-31;EXCL;20;42;84000;+84000
2023-05-19;ASII;11;552;607200;+607200
2023-05-10;BNGA;110;115.16;1266760;+1266760
2023-05-04;BJBR;620;104.55;6482100;+6482100
2023-05-03;JPFA;40;50;200000;+200000
2023-04-28;SIDO;150;23;345000;+345000
2023-04-14;BBCA;5;170;85000;+85000
2023-04-12;BBRI;12;231.22;277466;+277466
2023-01-27;BBRI;6;57;34200;+34200
2023-01-13;ADRO;51;251.28;1281528;+1281528
2022-12-20;BBCA;1;35;3500;+3500
2022-11-18;SIDO;140;13.5;189000;+189000
2022-07-27;MYOR;139;21;291900;+291900
2022-07-27;ERAA;234;22.8;533520;+533520
